"LabCode"	"Sex"	"Age"	"Ancy"	"Cysto"	"Tri"	"Tani"	"Dipy"	"Meso"	"Spiru"	"IgA"	"IgG"	"mucin"	"censor"	"age"	"Clan"	"age_death"	"rich_a"	"year"	"IMDS1"	"IMDS2"	"PMDS1"	"PMDS2"	"Diphyllobothrium"
"54"	"1"	"1"	600	50	0	0	0	125	0	7393.40684	8.295657866	96.67298822	0	189	"I"	1240	3	"2011"	-0.389441381265234	-0.0306053310369804	0.0534837365364388	-0.380925616540114	1375
"96"	"2"	"1"	375	0	0	0	75	0	0	70672.64712	480.7843386	255.8893485	1	204	"I"	1759	1	"2011"	0.00248940933162408	0.16122852797393	1.5265349327152	-0.540947296241321	0
"57"	"1"	"1"	525	0	0	0	0	0	0	7715.568274	27.57534328	69.0222716	0	131	"I"	1633	0	"2011"	-0.246088228301818	0.0466784623863493	0.28128206035661	0.941961226153541	0
"115"	"1"	"1"	25	25	0	0	50	0	0	141088.0802	35.03563397	196.4768974	1	97	"I"	655	3	"2011"	-0.125441382532528	-0.132214469945225	-0.563988478741816	-0.704644322944382	51125
"124"	"1"	"1"	2750	0	0	0	25	25	0	287259.5182	111.8071488	133.5550076	0	120	"I"	957	3	"2011"	0.143469682025667	-0.124488773756822	0.727791019460276	-0.171243015384832	25
"132"	"2"	"1"	1750	0	0	0	0	0	0	29374.42821	319.3364518	113.7405361	1	87	"I"	229	1	"2011"	0.0572594373054668	0.216451636838066	-0.420025466359839	0.245388918425264	23525
"375"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	93579.64619	NA	41.87386163	1	5736	"M"	6363	NA	"2006"	NA	NA	NA	NA	NA
"317"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	168444.3005	164.2640767	85.70892959	1	4195	"M"	5114	NA	"2008"	0.217014279280583	-0.0191176529107434	NA	NA	NA
"2A"	"2"	"3"	25	0	0	0	0	0	0	3012.8261	1.354874607	87.67494981	1	2441	"I"	3501	1	"2010"	-0.511233410760802	-0.0392132784455095	-0.728532583370006	0.00905626760956633	2625
"15A"	"2"	"3"	0	0	0	0	0	0	0	1150.453878	0	77.73640743	1	4629	"M"	5866	1	"2010"	-0.611750034331739	-0.0355729153663605	-1.28857580067895	-0.0368980129783227	175
"16A"	"2"	"3"	0	0	0	0	0	0	0	7761.541645	8.012923503	56.66234381	1	4230	"M"	5478	1	"2010"	-0.314187593829101	-0.0340059081933689	-1.28857580067895	-0.0368980129783225	850
"247"	"1"	"3"	25	0	0	0	0	0	0	NA	NA	73.96355896	1	3844	"M"	4140	1	"2009"	NA	NA	-0.205244756429399	0.445529936707443	50
"17A"	"2"	"3"	0	0	0	0	0	50	0	9035.733744	35.6538829	97.19749986	0	3935	"M"	6207	2	"2011"	-0.266564609526639	0.0460247678764431	-0.846266986361282	-1.02499557764591	800
"324"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	284951.2627	18.30545145	31.60365325	0	3101	"M"	6117	NA	"2009"	0.353004902943243	-0.366937159826368	NA	NA	NA
"18A"	"2"	"3"	25	0	0	0	0	0	0	5552.507816	15.9401747	43.76855248	1	3576	"M"	5322	1	"2011"	-0.246418323014079	0.0332185419182605	-0.092902491133476	0.536181495481637	25
"328"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	28312.2487	47.23657021	54.73775696	1	2877	"M"	3620	NA	"2009"	-0.0354694618840436	0.0220833655413279	NA	NA	NA
"19A"	"2"	"3"	0	0	0	0	0	0	0	55423.0014	NA	207.4936805	1	3327	"M"	4717	1	"2011"	NA	NA	-1.28857580067895	-0.0368980129783225	2675
"17M"	"1"	"3"	0	0	0	0	0	0	0	15847.46883	NA	39.06384988	0	NA	"M"	NA	1	"2015"	NA	NA	-1.28857580067895	-0.0368980129783225	200
"313"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	96000.35585	87.57961643	30.26269166	1	1572	"M"	2275	NA	"2007"	0.325937825675279	-0.0295611091821717	NA	NA	NA
"3A"	"2"	"3"	0	0	0	0	0	0	0	10038.61793	42.07115572	54.04441994	0	2157	"I"	4488	0	"2011"	-0.139039892354428	0.0831664773681577	NA	NA	0
"20A"	"2"	"3"	775	0	0	0	0	0	0	30112.00286	NA	244.7832233	1	2237	"M"	3791	1	"2010"	NA	NA	-0.917101113119519	-0.104067251926067	256775
"266"	"1"	"3"	362.5	125	0	75	0	375	37.5	NA	NA	NA	0	NA	"M"	NA	5	"2011"	NA	NA	0.134870491840066	-1.09240994721653	3612.5
"21A"	"2"	"3"	825	0	0	275	0	50	750	1253.329358	7.735056688	63.50331277	1	1949	"M"	3036	4	"2010"	-0.433866104153604	0.00470754866068961	0.0980153416994211	-1.12786687217708	34350
"22A"	"2"	"3"	50	0	0	0	0	0	0	1687.930046	0	68.43362307	0	1964	"M"	4292	1	"2011"	-0.591263890719803	-0.0381263349359778	-0.562592487953547	0.143499101375401	1875
"23A"	"2"	"3"	50	0	0	0	0	0	0	NA	48.7404078	109.1104348	0	1631	"M"	4005	1	"2010"	NA	NA	-0.374892337692618	0.294098903833523	450
"24A"	"2"	"3"	0	0	0	0	0	0	0	NA	9.910468973	115.959512	0	1419	"M"	3883	1	"2010"	NA	NA	-1.28857580067895	-0.0368980129783225	2100
"349"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	353226.11	22.97398187	20.27038883	0	3618	"M"	3883	NA	"2016"	0.495426236517451	-0.415323460129394	NA	NA	NA
"314"	"1"	"1"	NA	NA	NA	NA	NA	NA	NA	3553732.734	1525.790986	212.2694486	1	159	"M"	227	NA	"2007"	0.635872422006466	-0.155323672730182	NA	NA	NA
"25A"	"2"	"3"	850	0	0	0	0	0	0	NA	NA	201.0021616	0	1183	"M"	3564	1	"2010"	NA	NA	-0.0759164089306929	0.551766760348928	725
"315"	"1"	"1"	NA	NA	NA	NA	NA	NA	NA	250197.2874	904.9067308	214.0469367	1	167	"M"	282	NA	"2008"	0.250194829026602	0.149494167682028	NA	NA	NA
